FileName,Extension,Technology,Status,isBinary,Bytes,ContentType,ContentLines,CommentLines,BlankLines
\SqlServ_triggers_demo.sql,sql,SQL,OK,a,3615,Code,125,0,19
\SQ_SRV_etl_demo.sql,sql,SQL,OK,a,1892,Code,41,0,8
\SQ_SRV_function1_demo.sql,sql,SQL,OK,a,299,Code,8,1,0
\SQ_SRV_function2_demo.sql,sql,SQL,OK,a,220,Code,8,0,0
\SQ_SRV_function3_demo.sql,sql,SQL,OK,a,245,Code,8,0,0
\SQ_SRV_function4_demo.sql,sql,SQL,OK,a,265,Code,8,0,0
\SQ_SRV_functions_demo.sql,sql,SQL,OK,a,978,Code,32,0,6
\SQ_SRV_procedure10_demo.sql,sql,SQL,OK,a,295,Code,9,1,0
\SQ_SRV_procedure11_demo.sql,sql,SQL,OK,a,1120,Code,28,5,6
\SQ_SRV_procedure12_demo.sql,sql,SQL,OK,a,1837,Code,34,7,9
\SQ_SRV_procedure1_demo.sql,sql,SQL,OK,a,2192,Code,51,7,10
\SQ_SRV_procedure2_demo.sql,sql,SQL,OK,a,257,Code,9,1,0
\SQ_SRV_procedure3_demo.sql,sql,SQL,OK,a,334,Code,10,1,0
\SQ_SRV_procedure4_demo.sql,sql,SQL,OK,a,217,Code,9,1,0
\SQ_SRV_procedure5_demo.sql,sql,SQL,OK,a,261,Code,9,1,0
\SQ_SRV_procedure6_demo.sql,sql,SQL,OK,a,517,Code,13,1,1
\SQ_SRV_procedure7_demo.sql,sql,SQL,OK,a,358,Code,10,1,0
\SQ_SRV_procedure8_demo.sql,sql,SQL,OK,a,500,Code,13,1,1
\SQ_SRV_procedure9_demo.sql,sql,SQL,OK,a,218,Code,7,1,0
\SQ_SRV_procedures_demo.sql,sql,SQL,OK,a,815,Code,32,0,7
\SQ_SRV_tables_demo.sql,sql,SQL,OK,a,4371,Code,118,0,15
\SQ_SRV_triggers_demo.sql,sql,SQL,OK,a,3615,Code,125,0,19
\SQ_SRV_views_demo.sql,sql,SQL,OK,a,941,Code,27,0,4
