File,Technology,Keyword,Count
\input_mssql_functions.sql,SQL,=,64
\input_mssql_functions.sql,SQL,and,13
\input_mssql_functions.sql,SQL,as,34
\input_mssql_functions.sql,SQL,avg,1
\input_mssql_functions.sql,SQL,begin,24
\input_mssql_functions.sql,SQL,between,3
\input_mssql_functions.sql,SQL,bit,2
\input_mssql_functions.sql,SQL,case,4
\input_mssql_functions.sql,SQL,cast,2
\input_mssql_functions.sql,SQL,char,4
\input_mssql_functions.sql,SQL,coalesce,3
\input_mssql_functions.sql,SQL,convert,9
\input_mssql_functions.sql,SQL,count,2
\input_mssql_functions.sql,SQL,create function,23
\input_mssql_functions.sql,SQL,ct,6
\input_mssql_functions.sql,SQL,dateadd,1
\input_mssql_functions.sql,SQL,datediff,1
\input_mssql_functions.sql,SQL,datetime,16
\input_mssql_functions.sql,SQL,day,1
\input_mssql_functions.sql,SQL,decimal,8
\input_mssql_functions.sql,SQL,declare,20
\input_mssql_functions.sql,SQL,desc,1
\input_mssql_functions.sql,SQL,else,7
\input_mssql_functions.sql,SQL,end,28
\input_mssql_functions.sql,SQL,exists,5
\input_mssql_functions.sql,SQL,from,23
\input_mssql_functions.sql,SQL,go,14
\input_mssql_functions.sql,SQL,group by,1
\input_mssql_functions.sql,SQL,if,9
\input_mssql_functions.sql,SQL,inner join,14
\input_mssql_functions.sql,SQL,insert,4
\input_mssql_functions.sql,SQL,int,30
\input_mssql_functions.sql,SQL,into,4
\input_mssql_functions.sql,SQL,is not null,1
\input_mssql_functions.sql,SQL,is null,3
\input_mssql_functions.sql,SQL,isnull,5
\input_mssql_functions.sql,SQL,join,1
\input_mssql_functions.sql,SQL,money,7
\input_mssql_functions.sql,SQL,name,2
\input_mssql_functions.sql,SQL,not null,1
\input_mssql_functions.sql,SQL,null,5
\input_mssql_functions.sql,SQL,nvarchar,12
\input_mssql_functions.sql,SQL,on,15
\input_mssql_functions.sql,SQL,order by,1
\input_mssql_functions.sql,SQL,print,2
\input_mssql_functions.sql,SQL,return,23
\input_mssql_functions.sql,SQL,returns,24
\input_mssql_functions.sql,SQL,select,23
\input_mssql_functions.sql,SQL,set,11
\input_mssql_functions.sql,SQL,store,2
\input_mssql_functions.sql,SQL,sum,7
\input_mssql_functions.sql,SQL,table,1
\input_mssql_functions.sql,SQL,then,14
\input_mssql_functions.sql,SQL,tinyint,3
\input_mssql_functions.sql,SQL,top,1
\input_mssql_functions.sql,SQL,varchar,2
\input_mssql_functions.sql,SQL,when,14
\input_mssql_functions.sql,SQL,where,19
\input_mssql_functions.sql,SQL,*,9
\input_mssql_functions.sql,SQL,+,6
\input_mssql_functions.sql,SQL,-,1
\input_mssql_functions.sql,SQL,/,1
\input_mssql_functions.sql,SQL,<=,1
\input_mssql_functions.sql,SQL,>,2
\input_mssql_procedures.sql,SQL,=,112
\input_mssql_procedures.sql,SQL,@@identity,1
\input_mssql_procedures.sql,SQL,@@trancount,1
\input_mssql_procedures.sql,SQL,alter procedure,4
\input_mssql_procedures.sql,SQL,and,9
\input_mssql_procedures.sql,SQL,as,68
\input_mssql_procedures.sql,SQL,avg,1
\input_mssql_procedures.sql,SQL,begin try,4
\input_mssql_procedures.sql,SQL,begin transaction,1
\input_mssql_procedures.sql,SQL,begin catch,4
\input_mssql_procedures.sql,SQL,begin,43
\input_mssql_procedures.sql,SQL,bit,2
\input_mssql_procedures.sql,SQL,cast,4
\input_mssql_procedures.sql,SQL,category,1
\input_mssql_procedures.sql,SQL,commit,1
\input_mssql_procedures.sql,SQL,containstable,3
\input_mssql_procedures.sql,SQL,convert,6
\input_mssql_procedures.sql,SQL,count,3
\input_mssql_procedures.sql,SQL,create procedure,32
\input_mssql_procedures.sql,SQL,current_user,1
\input_mssql_procedures.sql,SQL,date,3
\input_mssql_procedures.sql,SQL,datediff,1
\input_mssql_procedures.sql,SQL,datetime,8
\input_mssql_procedures.sql,SQL,day,1
\input_mssql_procedures.sql,SQL,decimal,3
\input_mssql_procedures.sql,SQL,declare,15
\input_mssql_procedures.sql,SQL,desc,1
\input_mssql_procedures.sql,SQL,else,5
\input_mssql_procedures.sql,SQL,end try,4
\input_mssql_procedures.sql,SQL,end catch,4
\input_mssql_procedures.sql,SQL,end,43
\input_mssql_procedures.sql,SQL,error_line,2
\input_mssql_procedures.sql,SQL,error_message,2
\input_mssql_procedures.sql,SQL,error_number,3
\input_mssql_procedures.sql,SQL,error_procedure,2
\input_mssql_procedures.sql,SQL,error_severity,2
\input_mssql_procedures.sql,SQL,error_state,2
\input_mssql_procedures.sql,SQL,exec,2
\input_mssql_procedures.sql,SQL,execute,26
\input_mssql_procedures.sql,SQL,freetexttable,1
\input_mssql_procedures.sql,SQL,from,28
\input_mssql_procedures.sql,SQL,getdate,4
\input_mssql_procedures.sql,SQL,go,18
\input_mssql_procedures.sql,SQL,group by,4
\input_mssql_procedures.sql,SQL,having,1
\input_mssql_procedures.sql,SQL,id,4
\input_mssql_procedures.sql,SQL,if,9
\input_mssql_procedures.sql,SQL,inner join,20
\input_mssql_procedures.sql,SQL,insert,6
\input_mssql_procedures.sql,SQL,int,60
\input_mssql_procedures.sql,SQL,into,5
\input_mssql_procedures.sql,SQL,is null,3
\input_mssql_procedures.sql,SQL,isnull,5
\input_mssql_procedures.sql,SQL,key,4
\input_mssql_procedures.sql,SQL,language,4
\input_mssql_procedures.sql,SQL,money,1
\input_mssql_procedures.sql,SQL,name,14
\input_mssql_procedures.sql,SQL,nchar,2
\input_mssql_procedures.sql,SQL,null,1
\input_mssql_procedures.sql,SQL,nvarchar,12
\input_mssql_procedures.sql,SQL,off,1
\input_mssql_procedures.sql,SQL,on,30
\input_mssql_procedures.sql,SQL,option,4
\input_mssql_procedures.sql,SQL,or,1
\input_mssql_procedures.sql,SQL,order by,7
\input_mssql_procedures.sql,SQL,out,2
\input_mssql_procedures.sql,SQL,print,20
\input_mssql_procedures.sql,SQL,rank,4
\input_mssql_procedures.sql,SQL,return,3
\input_mssql_procedures.sql,SQL,rollback,1
\input_mssql_procedures.sql,SQL,select,32
\input_mssql_procedures.sql,SQL,serverproperty,1
\input_mssql_procedures.sql,SQL,set,32
\input_mssql_procedures.sql,SQL,sum,4
\input_mssql_procedures.sql,SQL,tinyint,1
\input_mssql_procedures.sql,SQL,transaction,2
\input_mssql_procedures.sql,SQL,union all,4
\input_mssql_procedures.sql,SQL,update,9
\input_mssql_procedures.sql,SQL,values,6
\input_mssql_procedures.sql,SQL,varchar,16
\input_mssql_procedures.sql,SQL,where,20
\input_mssql_procedures.sql,SQL,with,8
\input_mssql_procedures.sql,SQL,xact_state,1
\input_mssql_procedures.sql,SQL,*,4
\input_mssql_procedures.sql,SQL,+,33
\input_mssql_procedures.sql,SQL,-,2
\input_mssql_procedures.sql,SQL,<=,4
\input_mssql_procedures.sql,SQL,<,1
\input_mssql_procedures.sql,SQL,>=,4
\input_mssql_procedures.sql,SQL,>,2
\input_mssql_tables.sql,SQL,=,9
\input_mssql_tables.sql,SQL,and,16
\input_mssql_tables.sql,SQL,as,11
\input_mssql_tables.sql,SQL,availability,2
\input_mssql_tables.sql,SQL,between,13
\input_mssql_tables.sql,SQL,bit,7
\input_mssql_tables.sql,SQL,capacity,1
\input_mssql_tables.sql,SQL,category,2
\input_mssql_tables.sql,SQL,char,1
\input_mssql_tables.sql,SQL,check,94
\input_mssql_tables.sql,SQL,class,4
\input_mssql_tables.sql,SQL,comment,1
\input_mssql_tables.sql,SQL,constraint,240
\input_mssql_tables.sql,SQL,convert,1
\input_mssql_tables.sql,SQL,create table,109
\input_mssql_tables.sql,SQL,database,1
