ExtensibilityAPI_Version,2.0.8.0
ExternalRulesCount,0
ExternalRulesExecuted,0
PartitionKey,0196bac7-895c-71d0-bec4-cde3b3063d35
LicenseData,0fc3965b-27ba-439d-a035-632d5aa5eac3
ProductName,Snowflake Snow Conversion Tool 29.2.15+Branch.master.Sha.e736bd9127564f1974bbaad9e09639562a2336f9
CoreVersion,29.2.15
AppVersion,1.3.0.0
SourceLanguage,Transact
OSVersion,Microsoft Windows NT 10.0.26100.0
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
SnowScript,True
WorkloadName,
StartConversion,2025-05-10 20:49:47 +05:30
CreateSession,2025-05-10 20:49:47 +05:30
ConversionSpeed,75
ElapsedTime,00:00:10
EndConversion,2025-05-10 20:49:57 +05:30
ParsingTime,1.0197516
FilesWithUnexpectedEncoding,0
FillSymbolStep1Time,0.1489519
FillSymbolStep2Time,4.4393576
ResolveDependencyTime,0
PreprocessingTime,0.7833988
PreConversionAssessmentTime,0.441921
TransformationTime,1.1306871
CloseSession,2025-05-10 20:49:57 +05:30
SqlLinesCount,763
SqlFileCount,23
SqlSizeMB,0.02MB
SqlFilesNotGenerated,0
SqlLoCConversionRate,65.01
SqlCharacterConversionRate,67.02
SqlUnrecognizedElementsLOC,0
SqlTotalOccurrences,23
SqlFullyConvertedOccurrences,15
SqlFilesConversionRate,100
SqlTotalParsingErrors,0
SqlTotalConversionErrors,0
SqlTotalWarnings,37
SqlTotalCharacters,19598
TotalFiles,23
TotalFilesNotGenerated,0
TotalLinesOfCode,533
TotalSize,24.77KB
TotalNonParsingTransformationExceptions,2
TotalErrors,17
TotalWarnings,62
TotalParsingErrors,0
TotalConversionErrors,0
TotalCharacterConversionRate,67.02
TotalLoCConversionRate,93.06
TotalIdentifiedObjects,60
UnrecognizedElements,0
UnrecognizedElementsLOC,0
CodeCompletenessScore,77.11
ObjectsSuccessfullyConverted,30
ObjectConversionRate,50
TableObjectConversionRate,66.67
TableCharacterConversionRate,89.44
TableLoCConversionRate,94.07
TableFullyConvertedOccurrences,10
TableTotalOccurrences,15
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,9
TableTotalCharacters,3247
TableTotalLinesOfCode,118
ViewObjectConversionRate,80
ViewCharacterConversionRate,90.89
ViewLoCConversionRate,92.59
ViewFullyConvertedOccurrences,4
ViewTotalOccurrences,5
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,3
ViewTotalCharacters,768
ViewTotalLinesOfCode,27
ProcedureObjectConversionRate,69.23
ProcedureCharacterConversionRate,92.9
ProcedureLoCConversionRate,89.31
ProcedureFullyConvertedOccurrences,9
ProcedureTotalOccurrences,13
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,18
ProcedureTotalCharacters,6757
ProcedureTotalLinesOfCode,262
ProcedureCursorOccurrences,0
ProcedureLoopOccurrences,0
FetchInLoop,0
ProceduresWithFetchInLoop,0
FunctionsWithFetchInLoop,0
CursorsWithVariablesOrParameters,0
ProceduresWithCursorsWithVariablesOrParameters,0
FunctionsWithCursorsWithVariablesOrParameters,0
FunctionObjectConversionRate,100
FunctionCharacterConversionRate,100
FunctionLoCConversionRate,100
FunctionFullyConvertedOccurrences,7
FunctionTotalOccurrences,7
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,2
FunctionTotalCharacters,2274
FunctionTotalLinesOfCode,65
SqlTableObjectConversionRate,66.67
SqlTableLoCConversionRate,94.07
SqlTableTotalOccurrences,15
SqlTableFullyConvertedOccurrences,10
SqlTableTotalLinesOfCode,118
SqlTableTotalCharacters,3247
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,9
SqlTableTotalConversionErrors,0
SqlTableCharacterConversionRate,89.44
SqlViewObjectConversionRate,80
SqlViewLoCConversionRate,92.59
SqlViewTotalOccurrences,5
SqlViewFullyConvertedOccurrences,4
SqlViewTotalLinesOfCode,27
SqlViewTotalCharacters,768
SqlViewTotalParsingErrors,0
SqlViewTotalConversionErrors,0
SqlViewTotalWarnings,3
SqlViewCharacterConversionRate,90.89
SqlProcedureObjectConversionRate,69.23
SqlProcedureLoCConversionRate,89.31
SqlProcedureTotalOccurrences,13
SqlProcedureFullyConvertedOccurrences,9
SqlProcedureTotalLinesOfCode,262
SqlProcedureTotalCharacters,6757
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalWarnings,18
SqlProcedureCharacterConversionRate,92.9
SqlFunctionObjectConversionRate,100
SqlFunctionLoCConversionRate,100
SqlFunctionTotalOccurrences,7
SqlFunctionFullyConvertedOccurrences,7
SqlFunctionTotalLinesOfCode,65
SqlFunctionTotalCharacters,2274
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalWarnings,2
SqlFunctionCharacterConversionRate,100
BasicCursor,0
ProceduresWithBasicCursor,0
FunctionsWithBasicCursor,0
CursorForUpdate,0
ProceduresWithCursorForUpdate,0
FunctionsWithCursorForUpdate,0
FetchStatement,0
ProceduresWithFetchStatement,0
FunctionsWithFetchStatement,0
DynamicTotalStatements,0
DynamicTotalTables,0
DynamicTotalViews,0
DynamicExecuteStatements,0
ProceduresWithDynamicExecuteStatements,0
FunctionsWithDynamicExecuteStatements,0
DynamicProcedureCallStatements,0
TotalValidatedFiles,0
TotalInvalidFiles,0
InvalidEncodings,0
InvalidExtensions,0
InvalidSystemObjects,0
CodeUnitsOutOfScopePercentage,24.1
CodeUnitsOutOfScope,20
FunctionalDifferenceMessages,42
PerformanceReviews,0
TotalParsingEWIs,0
TotalOtherEWIs,37
OtherCriticalIssues,0
UniqueOtherCriticalIssues,0
UniqueParsingIssues,0
UniqueFDMs,6
UniquePRFs,0
TotalMissingObjectReferences,64
UniqueMissingObjectReferences,25
Triggers,20
TriggerLinesOfCode,230
GrantStatements,0
GrantStatementLinesOfCode,0
TotalCodeUnits,63
FullyConvertedCodeUnitsRate,84.13
UnScopeJavaFunctionsObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCFunctionsLoC,0
UnScopeJavaProceduresObjects,0
UnScopeJavaProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeCProceduresLoC,0
FunctionMultiStatementTableValuedCount,0
FunctionInlineTableValuedCount,0
FunctionTableValuedLoc,0
FunctionSimpleScalarCount,0
FunctionMultiStatementScalarCount,7
ScalarFunctionLoc,113
FunctionScalarCount,8
UdfCallsInDDLCount,0
UdfCallsInDMLCount,0
TemporaryTables,0
GlobalTemporaryTables,0
DynamicInsertStatements,0
ProceduresWithDynamicInsertStatements,0
FunctionsWithDynamicInsertStatements,0
TriggerObjectConversionRate,0
TriggerCharacterConversionRate,0
TriggerLoCConversionRate,0
TriggerTotalOccurrences,20
TriggerFullyConvertedOccurrences,0
TriggerTotalCharacters,5570
TriggerTotalLinesOfCode,230
TriggerTotalParsingErrors,0
TriggerTotalConversionErrors,0
TriggerTotalWarnings,40
SqlTriggerObjectConversionRate,0
SqlTriggerCharacterConversionRate,0
SqlTriggerLoCConversionRate,0
SqlTriggerTotalOccurrences,20
SqlTriggerFullyConvertedOccurrences,0
SqlTriggerTotalCharacters,5570
SqlTriggerTotalLinesOfCode,230
SqlTriggerTotalParsingErrors,0
SqlTriggerTotalConversionErrors,0
SqlTriggerTotalWarnings,40
SqlIndexTotalOccurrences,0
SqlIndexTotalConversionErrors,0
