SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,VALUES,SQL,14,8
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,NEWID,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL Content,AS query_expr,SQL,5,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,<>,SQL,2,2
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Statement - Control of Flow,BEGIN...END,SQL,55,29
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL,CREATE TABLE,SQL,16,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,INTO,SQL,2,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,IN,SQL,16,16
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL,ALTER TABLE computed_column_definition,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,=,SQL,84,23
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Data Type,INT,SQL,63,2
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,ON,SQL,11,10
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,*,SQL,4,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,ISNULL,SQL,6,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL Content,NOT NULL COLUMN,SQL,14,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DML,MERGE,SQL,7,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL Content,[Create Table] CHECK,SQL,6,6
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,WHERE,SQL,44,23
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,COUNT,SQL,5,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL,DROP TABLE,SQL,3,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,NOT IN,SQL,2,2
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Data Type,VARCHAR,SQL,5,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,JSON_VALUE,SQL,2,2
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,WHEN MATCHED,SQL,7,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Data Type,DECIMAL,SQL,18,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,JOIN,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,UPPER,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Data Type,DATETIME,SQL,10,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,BETWEEN,SQL,2,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,DESC,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,DDL Content,REFERENCES COLUMN,SQL,10,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,INNER JOIN,SQL,10,10
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Data Type,GEOGRAPHY,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Data Type,CHAR,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,NULL,SQL,7,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Statement,ASSIGNMENT EXPR,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Query,GROUP BY,SQL,4,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,DATEDIFF,SQL,6,4
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Functions & Expressions,ERROR_MESSAGE,SQL,1,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,>=,SQL,3,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Set Operator,EXCEPT,SQL,40,24
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,<,SQL,5,4
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,-,SQL,7,4
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,<TSqlsBatch-UNKNOWN>,GOTO / LABEL,SQL,41,0
0196bdc2-b162-7ba4-ad81-0f7d7c41ffb8,Operator,EXISTS / NOT EXISTS,SQL,6,6
