PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedures_demo.sql,CREATE PROCEDURE,N/A,N/A,"sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)","sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)",N/A,N/A,Employee,Employee,35,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedures_demo.sql,CREATE PROCEDURE,N/A,N/A,"sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)","sp_AddProduct(NVARCHAR,NVARCHAR,INT,INT,DECIMAL)",N/A,N/A,Employee,Employee,27,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure11_demo.sql,CREATE PROCEDURE,N/A,N/A,CustomerSegmentation,CustomerSegmentation,N/A,N/A,SalesOrders,SalesOrders,20,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure1_demo.sql,CREATE PROCEDURE,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",N/A,N/A,Employees,Employees,52,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure1_demo.sql,CREATE PROCEDURE,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",N/A,N/A,Employees,Employees,35,UPDATE
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_procedure1_demo.sql,CREATE PROCEDURE,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",N/A,N/A,Employees,Employees,20,INSERT
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogDelayedShipments,trg_LogDelayedShipments,N/A,N/A,inserted,inserted,141,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogDelayedShipments,trg_LogDelayedShipments,N/A,N/A,ShipmentDelayLog,ShipmentDelayLog,139,INSERT
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_AutoReorderStock,trg_AutoReorderStock,N/A,N/A,inserted,inserted,127,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_AutoReorderStock,trg_AutoReorderStock,N/A,N/A,PurchaseOrders,PurchaseOrders,125,INSERT
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogInventoryRestock,trg_LogInventoryRestock,N/A,N/A,deleted,deleted,114,SELECT - JOIN
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogInventoryRestock,trg_LogInventoryRestock,N/A,N/A,inserted,inserted,113,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_LogInventoryRestock,trg_LogInventoryRestock,N/A,N/A,InventoryRestockLog,InventoryRestockLog,111,INSERT
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_PreventShippedOrderCancellation,trg_PreventShippedOrderCancellation,N/A,N/A,deleted,deleted,101,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_PreventShippedOrderCancellation,trg_PreventShippedOrderCancellation,N/A,N/A,deleted,deleted,96,SELECT - FROM
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_UpdateSupplierPerformance,trg_UpdateSupplierPerformance,N/A,N/A,inserted,inserted,86,UPDATE
0196bac7-895c-71d0-bec4-cde3b3063d35,SQ_SRV_triggers_demo.sql,CREATE TRIGGER,N/A,N/A,trg_UpdateSupplierPerformance,trg_UpdateSupplierPerformance,N/A,N/A,PurchaseOrders,PurchaseOrders,83,SELECT - FROM
