PartitionKey,FileType,Category,CodeUnit,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage
0196914a-6079-7582-8542-c639925dff1a,SQL,SESSION / BATCH CONTROL,GO,N/A,input_mssql_tables.sql,1435,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196914a-6079-7582-8542-c639925dff1a,SQL,TABLE,CREATE TABLE,[Production].[WorkOrderRouting],input_mssql_tables.sql,1415,20,5,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0012,N/A,Partial,70%
0196914a-6079-7582-8542-c639925dff1a,SQL,SESSION / BATCH CONTROL,GO,N/A,input_mssql_tables.sql,1413,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196914a-6079-7582-8542-c639925dff1a,SQL,TABLE,CREATE TABLE,[Production].[WorkOrder],input_mssql_tables.sql,1398,15,3,2,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-TS0014 | SSC-FDM-0012,N/A,Partial,80%
0196914a-6079-7582-8542-c639925dff1a,SQL,SESSION / BATCH CONTROL,GO,N/A,input_mssql_tables.sql,1396,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196914a-6079-7582-8542-c639925dff1a,SQL,TABLE,CREATE TABLE,[Purchasing].[Vendor],input_mssql_tables.sql,1385,11,1,8,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-TS0015 | SSC-FDM-0012 | SSC-FDM-0007,N/A,Partial,90.91%
0196914a-6079-7582-8542-c639925dff1a,SQL,SESSION / BATCH CONTROL,GO,N/A,input_mssql_tables.sql,1383,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196914a-6079-7582-8542-c639925dff1a,SQL,TABLE,CREATE TABLE,[Production].[UnitMeasure],input_mssql_tables.sql,1378,5,0,2,0,N/A,N/A,N/A,SSC-FDM-TS0015 | SSC-FDM-0012,N/A,Success,100%
0196914a-6079-7582-8542-c639925dff1a,SQL,SESSION / BATCH CONTROL,GO,N/A,input_mssql_tables.sql,1376,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196914a-6079-7582-8542-c639925dff1a,SQL,TABLE,CREATE TABLE,[Production].[TransactionHistoryArchive],input_mssql_tables.sql,1364,12,1,3,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0012,N/A,Partial,91.67%
